Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,27.420000,28.129999,26.420000,26.520000,26.520000,26740900
2022-01-04,26.670000,26.670000,24.639999,25.490000,25.490000,33347900
2022-01-05,25.170000,25.299999,22.360001,22.750000,22.750000,45172100
2022-01-06,22.959999,23.770000,20.799999,22.459999,22.459999,59112700
2022-01-07,23.610001,24.299999,22.440001,22.990000,22.990000,49481000
2022-01-10,22.420000,22.870001,21.250000,22.780001,22.780001,37784000
2022-01-11,22.400000,23.750000,22.090000,22.790001,22.790001,36063800
2022-01-12,22.860001,23.360001,22.049999,22.719999,22.719999,27472100
2022-01-13,22.650000,23.150000,20.530001,20.660000,20.660000,41005000
2022-01-14,20.330000,21.080000,19.510000,20.570000,20.570000,56996600
2022-01-18,19.790001,19.889999,17.799999,18.840000,18.840000,55679700
2022-01-19,18.530001,19.420000,18.030001,18.320000,18.320000,35096800
2022-01-20,18.590000,20.160000,17.950001,18.070000,18.070000,51078700
2022-01-21,17.770000,18.559999,16.219999,17.969999,17.969999,65185700
2022-01-24,16.240000,17.290001,14.230000,16.639999,16.639999,82424700
2022-01-25,15.890000,16.620001,15.550000,16.020000,16.020000,42434600
2022-01-26,16.209999,18.160000,15.650000,15.940000,15.940000,76722900
2022-01-27,16.110001,16.590000,14.400000,14.520000,14.520000,50530200
2022-01-28,14.600000,15.250000,13.400000,15.060000,15.060000,53951600
2022-01-31,15.140000,16.250000,15.000000,16.059999,16.059999,41447900
2022-02-01,18.150000,18.709999,16.520000,16.860001,16.860001,124427700
2022-02-02,16.549999,17.070000,15.380000,15.420000,15.420000,48626000
2022-02-03,15.040000,15.850000,14.650000,14.870000,14.870000,39215100
2022-02-04,15.000000,15.700000,14.740000,15.350000,15.350000,32396500
2022-02-07,15.620000,16.000000,14.680000,14.910000,14.910000,29755200
2022-02-08,14.900000,16.820000,14.650000,16.430000,16.430000,51272500
2022-02-09,16.299999,19.000000,16.139999,18.940001,18.940001,75867400
2022-02-10,17.900000,20.959999,17.850000,18.590000,18.590000,98957400
2022-02-11,18.620001,19.660000,18.330000,18.809999,18.809999,68425900
2022-02-14,18.830000,19.360001,17.660000,17.750000,17.750000,46106700
2022-02-15,18.049999,19.549999,17.959999,19.480000,19.480000,39852000
2022-02-16,19.350000,20.580000,19.260000,19.670000,19.670000,49444600
2022-02-17,19.480000,20.209999,18.469999,18.940001,18.940001,40130200
2022-02-18,18.990000,19.200001,17.680000,17.900000,17.900000,31953500
2022-02-22,17.360001,18.129999,16.110001,16.469999,16.469999,42968500
2022-02-23,16.730000,17.020000,15.620000,15.730000,15.730000,30155900
2022-02-24,14.970000,17.770000,14.960000,17.680000,17.680000,54405700
2022-02-25,17.709999,17.860001,16.530001,17.660000,17.660000,36944100
2022-02-28,18.000000,19.340000,17.610001,18.860001,18.860001,42772300
2022-03-01,19.000000,19.430000,17.830000,18.320000,18.320000,44003000
2022-03-02,18.010000,18.690001,17.309999,18.530001,18.530001,35038200
2022-03-03,18.629999,18.700001,17.799999,18.059999,18.059999,24825900
2022-03-04,18.049999,18.320000,16.350000,16.570000,16.570000,39474600
2022-03-07,16.910000,17.100000,14.900000,15.210000,15.210000,39507300
2022-03-08,15.150000,16.260000,14.380000,15.390000,15.390000,35370400
2022-03-09,15.720000,16.270000,15.430000,15.710000,15.710000,25206400
2022-03-10,15.630000,15.810000,14.780000,15.320000,15.320000,25666500
2022-03-11,15.310000,15.400000,14.270000,14.300000,14.300000,29202900
2022-03-14,14.050000,14.160000,12.900000,13.560000,13.560000,32959800
2022-03-15,13.760000,14.690000,13.170000,14.480000,14.480000,40853100
2022-03-16,14.510000,15.690000,14.230000,15.230000,15.230000,39104500
2022-03-17,14.910000,15.610000,14.860000,15.190000,15.190000,24130400
2022-03-18,14.980000,15.900000,14.970000,15.800000,15.800000,31992100
2022-03-21,15.690000,16.549999,15.280000,15.860000,15.860000,34256700
2022-03-22,15.880000,18.910000,15.750000,18.260000,18.260000,81798900
2022-03-23,18.750000,22.350000,18.180000,20.740000,20.740000,170142600
2022-03-24,20.049999,20.570000,18.860001,20.230000,20.230000,68471700
2022-03-25,19.950001,21.700001,19.709999,20.240000,20.240000,71814700
2022-03-28,20.610001,29.730000,20.530001,29.330000,29.330000,226704100
2022-03-29,30.030001,34.330002,26.410000,29.440001,29.440001,212293100
2022-03-30,28.559999,29.230000,25.350000,25.680000,25.680000,95384200
2022-03-31,24.770000,25.920000,23.260000,24.639999,24.639999,89239000
2022-04-01,25.129999,25.280001,22.340000,23.299999,23.299999,65735700
2022-04-04,23.480000,23.750000,21.940001,23.309999,23.309999,51458400
2022-04-05,23.180000,23.959999,21.000000,21.209999,21.209999,41624100
2022-04-06,20.650000,21.920000,20.010000,20.389999,20.389999,52212200
2022-04-07,20.629999,20.940001,18.629999,19.730000,19.730000,53370500
2022-04-08,19.700001,19.700001,18.129999,18.240000,18.240000,42674700
2022-04-11,18.030001,18.820000,17.719999,18.719999,18.719999,37554600
2022-04-12,18.879999,19.010000,17.200001,17.420000,17.420000,42073100
2022-04-13,17.549999,18.580000,16.940001,18.530001,18.530001,36748800
2022-04-14,18.270000,18.690001,17.900000,18.020000,18.020000,25333700
2022-04-18,18.100000,18.190001,16.969999,17.480000,17.480000,23892600
2022-04-19,17.379999,18.920000,17.100000,18.680000,18.680000,31744900
2022-04-20,18.400000,18.660000,17.299999,17.340000,17.340000,23913500
2022-04-21,17.410000,18.070000,16.660000,16.850000,16.850000,26372700
2022-04-22,17.120001,17.610001,16.100000,16.520000,16.520000,26431700
2022-04-25,16.389999,17.030001,16.290001,16.959999,16.959999,26444200
2022-04-26,16.889999,17.090000,15.490000,15.500000,15.500000,24732800
2022-04-27,15.390000,16.250000,15.250000,15.850000,15.850000,26605900
2022-04-28,15.710000,16.129999,14.700000,15.640000,15.640000,29857700
2022-04-29,15.630000,16.049999,15.220000,15.300000,15.300000,21342700
2022-05-02,15.100000,15.490000,14.610000,15.260000,15.260000,23883200
2022-05-03,15.160000,16.110001,14.730000,15.510000,15.510000,31834300
2022-05-04,15.220000,15.910000,14.680000,15.720000,15.720000,26421700
2022-05-05,15.680000,15.790000,14.360000,14.690000,14.690000,26987600
2022-05-06,14.660000,14.840000,13.520000,13.760000,13.760000,33033100
2022-05-09,13.630000,13.630000,12.430000,12.520000,12.520000,40732200
2022-05-10,13.150000,14.010000,11.500000,11.840000,11.840000,55693400
2022-05-11,11.560000,11.650000,9.910000,10.370000,10.370000,58508700
2022-05-12,10.050000,13.710000,9.700000,11.200000,11.200000,104887800
2022-05-13,12.110000,12.490000,11.490000,11.810000,11.810000,58129300
2022-05-16,11.900000,12.660000,11.500000,11.710000,11.710000,40960000
2022-05-17,12.060000,12.920000,11.840000,12.900000,12.900000,38183500
2022-05-18,12.730000,14.220000,12.510000,12.760000,12.760000,53729400
2022-05-19,12.770000,13.500000,12.660000,13.080000,13.080000,50443600
2022-05-20,13.180000,13.350000,11.430000,12.030000,12.030000,41387900
2022-05-23,12.010000,12.020000,11.450000,11.580000,11.580000,24854400
2022-05-24,11.330000,11.390000,10.300000,10.390000,10.390000,37689300
2022-05-25,10.480000,11.880000,10.400000,11.880000,11.880000,53628000
2022-05-26,11.750000,12.880000,11.590000,12.230000,12.230000,71002400
2022-05-27,12.650000,14.470000,12.400000,14.430000,14.430000,89906000
2022-05-31,15.750000,16.129999,13.930000,14.340000,14.340000,106975100
2022-06-01,14.010000,14.320000,12.800000,12.810000,12.810000,55539700
2022-06-02,12.690000,13.540000,12.300000,13.300000,13.300000,45309900
2022-06-03,12.780000,13.060000,12.180000,12.450000,12.450000,39073400
2022-06-06,12.420000,12.580000,11.770000,11.950000,11.950000,34537900
2022-06-07,12.020000,13.250000,11.810000,13.070000,13.070000,40370600
2022-06-08,12.800000,14.250000,12.710000,13.520000,13.520000,51742200
2022-06-09,13.370000,13.530000,12.570000,12.780000,12.780000,32254800
2022-06-10,12.630000,12.730000,12.070000,12.430000,12.430000,26509900
2022-06-13,11.910000,12.200000,11.090000,11.480000,11.480000,27916000
2022-06-14,11.520000,12.050000,11.110000,11.920000,11.920000,25723500
2022-06-15,11.550000,12.970000,11.540000,12.770000,12.770000,37213600
2022-06-16,12.220000,12.500000,11.430000,11.790000,11.790000,26518100
2022-06-17,11.860000,12.710000,11.860000,12.530000,12.530000,32932500
2022-06-21,12.750000,12.930000,12.220000,12.500000,12.500000,30357400
2022-06-22,12.500000,13.220000,12.370000,12.600000,12.600000,26660700
2022-06-23,12.790000,12.810000,11.440000,12.050000,12.050000,36073100
2022-06-24,12.170000,12.570000,11.930000,12.470000,12.470000,80630300
2022-06-27,12.580000,14.750000,12.310000,14.130000,14.130000,77601900
2022-06-28,14.000000,14.300000,13.310000,13.380000,13.380000,39677100
2022-06-29,13.070000,13.890000,12.800000,13.650000,13.650000,27690400
2022-06-30,13.400000,13.850000,12.910000,13.550000,13.550000,25348300
2022-07-01,13.480000,14.310000,13.260000,13.530000,13.530000,30895500
2022-07-05,13.550000,13.580000,12.560000,12.780000,12.780000,30261000
2022-07-06,12.680000,13.040000,12.160000,12.570000,12.570000,25762100
2022-07-07,12.540000,14.690000,12.410000,14.480000,14.480000,62763200
2022-07-08,13.890000,15.320000,13.840000,14.660000,14.660000,48770200
2022-07-11,14.490000,14.990000,14.070000,14.950000,14.950000,32394400
2022-07-12,14.950000,16.139999,14.810000,15.600000,15.600000,52835300
2022-07-13,15.050000,15.930000,14.900000,15.140000,15.140000,36666700
2022-07-14,14.950000,15.680000,14.730000,15.060000,15.060000,35302700
2022-07-15,15.270000,15.390000,14.710000,15.370000,15.370000,26085100
2022-07-18,15.600000,16.959999,15.530000,16.540001,16.540001,54040500
2022-07-19,17.410000,17.820000,16.250000,16.360001,16.360001,50521500
2022-07-20,16.520000,17.730000,16.330000,17.520000,17.520000,47582900
2022-07-21,17.900000,18.370001,16.950001,17.000000,17.000000,39350000
2022-07-22,16.700001,16.879999,15.280000,15.500000,15.500000,31374000
